timestamp,device_id,voltage,min_val,max_val,level,decibel,status
1776779970,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779972,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779974,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779976,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779978,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779980,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779982,pico_1,0.004,2112,2192,80,-58.27,OK
1776779984,pico_1,0.004,2112,2192,80,-58.27,OK
1776779986,pico_1,0.0048,2080,2176,96,-56.68,OK
1776779989,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779991,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779993,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779995,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779997,pico_1,0.0032,2112,2176,64,-60.21,OK
1776779999,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780001,pico_1,0.004,2112,2192,80,-58.27,OK
1776780003,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780005,pico_1,0.0073,2080,2224,144,-53.16,VARNING
1776780008,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780010,pico_1,0.0105,2112,2320,208,-49.97,VARNING
1776780012,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780014,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780016,pico_1,0.0064,2096,2224,128,-54.19,VARNING
1776780018,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780020,pico_1,0.8703,1376,18660,17284,-11.58,KRITISK
1776780022,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780024,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780027,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780029,pico_1,0.004,2112,2192,80,-58.27,OK
1776780031,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780033,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780035,pico_1,0.004,2112,2192,80,-58.27,OK
1776780037,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780039,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780041,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780043,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780046,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780048,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780050,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780052,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780054,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780056,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780058,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780060,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780062,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780065,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780067,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780069,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780071,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780073,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780075,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780077,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780079,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780081,pico_1,0.0024,2128,2176,48,-62.7,OK
1776780084,pico_1,0.004,2096,2176,80,-58.27,OK
1776780086,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780088,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780090,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780092,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780094,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780096,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780098,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780100,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780103,pico_1,0.0056,2080,2192,112,-55.35,OK
1776780105,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780107,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780109,pico_1,0.004,2096,2176,80,-58.27,OK
1776780111,pico_1,0.004,2096,2176,80,-58.27,OK
1776780113,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780115,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780117,pico_1,0.004,2112,2192,80,-58.27,OK
1776780119,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780122,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780124,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780126,pico_1,0.004,2112,2192,80,-58.27,OK
1776780128,pico_1,0.004,2112,2192,80,-58.27,OK
1776780130,pico_1,0.0056,2096,2208,112,-55.35,OK
1776780132,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780134,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780136,pico_1,0.004,2096,2176,80,-58.27,OK
1776780138,pico_1,0.004,2112,2192,80,-58.27,OK
1776780141,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780143,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780145,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780147,pico_1,0.004,2112,2192,80,-58.27,OK
1776780149,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780151,pico_1,0.004,2112,2192,80,-58.27,OK
1776780153,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780155,pico_1,0.0032,2128,2192,64,-60.21,OK
1776780157,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780160,pico_1,0.004,2112,2192,80,-58.27,OK
1776780162,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780164,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780166,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780168,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780170,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780172,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780174,pico_1,0.0048,2112,2208,96,-56.68,OK
1776780176,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780179,pico_1,0.004,2112,2192,80,-58.27,OK
1776780181,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780183,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780185,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780187,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780189,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780191,pico_1,0.0056,2080,2192,112,-55.35,OK
1776780193,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780195,pico_1,0.004,2112,2192,80,-58.27,OK
1776780198,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780200,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780202,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780204,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780206,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780208,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780210,pico_1,0.0089,2016,2192,176,-51.42,VARNING
1776780212,pico_1,0.0056,2080,2192,112,-55.35,OK
1776780214,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780217,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780219,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780221,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780223,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780225,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780227,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780229,pico_1,0.0024,2128,2176,48,-62.7,OK
1776780231,pico_1,0.0048,2080,2176,96,-56.68,OK
1776780233,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780236,pico_1,0.004,2112,2192,80,-58.27,OK
1776780238,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780240,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780242,pico_1,0.0048,2096,2192,96,-56.68,OK
1776780244,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780246,pico_1,0.0032,2128,2192,64,-60.21,OK
1776780248,pico_1,0.0048,2112,2208,96,-56.68,OK
1776780250,pico_1,0.004,2112,2192,80,-58.27,OK
1776780252,pico_1,0.004,2112,2192,80,-58.27,OK
1776780255,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780257,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780259,pico_1,0.004,2096,2176,80,-58.27,OK
1776780261,pico_1,0.004,2112,2192,80,-58.27,OK
1776780263,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780265,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780267,pico_1,0.004,2112,2192,80,-58.27,OK
1776780269,pico_1,0.0056,2112,2224,112,-55.35,OK
1776780271,pico_1,0.0032,2112,2176,64,-60.21,OK
1776780274,pico_1,0.0032,2112,2176,64,-60.21,OK
